"ID",Page,Sub Menu,Feature,Bobot,Test,Action,Step,Expected Result,Actual Result,Status,Progress,Remarks of Test
A-008,Kiosk,,,20.00%,Menggunakan Metode Pembayaran yang Tidak Didukung,,"- Buka halaman Kiosk
- Klik tombol Start Order
- Pilih metode pembayaran yang tidak didukung
- Klik tombol Lanjut",Aplikasi menampilkan pesan error dan tidak dapat memproses pemesanan,,NOT DONE,0,
A-009,Kiosk,Menu Categories,,33.33%,[Recommendation Section] Verifikasi tampilan rekomendasi menu,,"Prerequisite: Buka layar Menu Categories lalu scroll ke bagian Recommendation

Steps:
- Scroll layar hingga bagian Recommendation muncul 
- Periksa kartu rekomendasi yang ditampilkan 
- Periksa nama menu dan harga
- Tekan salah satu item rekomendasi","- Kartu rekomendasi tampil lengkap dengan gambar, nama menu dan harga
- Layout kartu tersusun rapi dan konsisten 
- Ketika item dipilih sistem membuka halaman Choose Your Meal Option jika item memiliki combo
- Perpindahan halaman berjalan normal tanpa error",As Expected,DONE,100,[Actual Result: - tinggi card berubah-ubah sesuai dengan panjang nama dan foto product]
A-009,Kiosk,,,20.00%,Membatalkan Pemesanan yang Sudah Diproses,,"- Buka halaman Kiosk
- Klik tombol Start Order
- Pilih menu dan proses pemesanan
- Klik tombol Batalkan",Aplikasi menampilkan pesan error dan tidak dapat membatalkan pemesanan,,NOT DONE,0,
A-010,Kiosk,Menu Items,,50.00%,[Category Items] Verifikasi tata letak dan isi daftar item pada kategori yang dipilih,,"Prerequisite: Buka salah satu kategori pada Menu Categories

Steps:
- Pilih salah satu kategori menu 
- Periksa daftar item yang muncul 
- Scroll layar untuk melihat seluruh item 
- Periksa setiap kartu item yang ditampilkan 
- Periksa label seperti Hot, Better Value, Best Seller, atau Sold Out","- Daftar item menampilkan gambar, nama menu, harga, label, dan kalori 
- Gambar tampil jelas dan tidak terpotong 
- Label status item tampil sesuai kondisi 
- Tata letak kartu item konsisten 
- Scroll berjalan lancar tanpa kendala",As Expected,DONE,100,[Actual Result: - tidak ada jumlah kalori pada product]
A-010,Kiosk,,,20.00%,Memulai Pemesanan dengan Akun yang Tidak Valid,,"- Buka halaman Kiosk
- Klik tombol Start Order
- Masukkan akun yang tidak valid
- Klik tombol Lanjut",Aplikasi menampilkan pesan error dan tidak dapat memproses pemesanan,,NOT DONE,0,
A-011,Kiosk,Menu Items,,50.00%,[Subtotal & Continue Button] Verifikasi perubahan subtotal dan fungsi tombol Continue,,"Prerequisite: Buka salah satu kategori pada Menu Items

Steps:
- Pilih salah satu item menu 
- Tambahkan item ke keranjang 
- Periksa perubahan nilai subtotal pada bagian bawah layar 
- Periksa status tombol Continue 
- Tekan tombol Continue","- Subtotal bertambah sesuai harga item yang dipilih 
- Nilai subtotal diperbarui secara real-time 
- Tombol Continue aktif setelah item ditambahkan 
- Ketika tombol Continue ditekan sistem berpindah ke langkah berikutnya 
- Perpindahan halaman berjalan normal tanpa error",As Expected,DONE,100,
A-012,Kiosk,Click Behavior,,100.00%,[Item Interaction Behavior] Verifikasi tampilan detail ketika item ditekan,,"Prerequisite: Buka salah satu kategori menu

Steps:
- Pilih salah satu item pada daftar menu 
- Periksa tampilan halaman detail item 
- Periksa gambar item, nama item dan harga
- Periksa apakah terdapat opsi ukuran atau variasi item 
- Tekan tombol Back atau lanjutkan proses pemesanan","- Halaman category item tampil dengan gambar, nama item dan harga
- Layout halaman tidak terpotong atau overlap 
- Halaman detail stabil dan responsif 
- Pengguna dapat kembali ke halaman sebelumnya tanpa error 
- Pengguna dapat melanjutkan proses pemesanan dengan normal",As Expected,DONE,100,
A-013,Kiosk,Meal Options,,25.00%,[Meal Options (4 Items)] Verifikasi tampilan pilihan meal dengan 3 item,,"Prerequisite: Buka layar Meal Options yang menampilkan tiga pilihan menu

Steps:
- Periksa kartu meal option yang ditampilkan 
- Periksa gambar produk pada setiap kartu 
- Periksa nama menu, harga, dan informasi kalori 
- Periksa label seperti ""Better Value"" jika tersedia 
- Pilih salah satu meal option","- 4 kartu meal option tampil dengan gambar, nama menu, harga, dan kalori 
- Label seperti Better Value tampil dengan jelas jika tersedia 
- Tata letak kartu menu rapi dan konsisten 
- Item dapat dipilih tanpa delay 
- Sistem berpindah ke layar Item Customize 
- Transisi berjalan lancar tanpa freeze atau error",As Expected,DONE,100,
A-014,Kiosk,Meal Options,,25.00%,[Meal Options (2 Items)] Verifikasi tampilan pilihan meal dengan 2 item,,"Prerequisite: Buka layar Meal Options yang menampilkan dua pilihan menu

Steps:
- Periksa dua kartu meal option yang ditampilkan 
- Periksa gambar produk pada setiap kartu 
- Periksa nama menu, harga, dan kalori
- Pilih salah satu meal option","- 2 kartu meal option tampil utuh dengan informasi lengkap 
- Gambar produk jelas dan tidak terpotong 
- Tata letak kartu proporsional dan konsisten 
- Item dapat dipilih tanpa kendala 
- Sistem berpindah ke layar Item Customize tanpa delay atau error",As Expected,DONE,100,
A-015,Kiosk,Meal Options,,25.00%,[Back Button Navigation] Verifikasi fungsi tombol Back pada halaman Meal Options,,"Prerequisite: Buka layar Meal Options dari salah satu kategori menu

Steps:
- Periksa tampilan halaman Meal Options 
- Tekan tombol Back pada layar 
- Periksa halaman yang muncul setelah tombol ditekan","- Sistem kembali ke halaman menu sebelumnya 
- Navigasi berjalan lancar 
- Tidak terjadi delay, freeze, atau error 
- Tampilan halaman sebelumnya muncul dengan layout normal",As Expected,DONE,100,
A-016,Kiosk,Item Customize,,14.29%,[Customize UI Layout] Verifikasi tampilan elemen UI pada layar Customize,,"Prerequisite: Buka layar Item Customize dari salah satu meal option

Steps:
- Periksa seluruh elemen UI pada layar customize 
- Periksa bagian pilihan ingredient 1 dan ingredient 2 
- Periksa bagian Toppings. 
- Periksa panel ringkasan pesanan di sisi kanan 
- Periksa tombol Add to order dan tombol Back","- Seluruh elemen UI tampil lengkap dan sesuai desain 
- Setiap bagian menu terlihat jelas dan tidak terpotong 
- Panel ringkasan pesanan tampil dengan informasi item yang dipilih 
- Tata letak elemen rapi dan konsisten 
- Halaman tampil stabil tanpa glitch atau error",As Expected,DONE,100,"[Actual Result: - nilai pada item tambahan tidak ikut bertambah dicard itemnya, tapi bertambah diringkasan pesanan]"
A-017,Kiosk,Item Customize,,14.29%,[Selection Rule (Choose 1)] Verifikasi aturan pemilihan pada kategori Choose 1,,"Prerequisite: Buka layar Item Customize

Steps:
- Periksa kategori yang memiliki label Choose 1 
- Pilih salah satu opsi bun - Pilih opsi bun lainnya 
- Lakukan hal yang sama pada kategori chicken fillet 
- Periksa perubahan pada ringkasan pesanan","- Hanya satu opsi dapat dipilih dalam kategori Choose 1 
- Opsi sebelumnya otomatis tidak terpilih saat opsi lain dipilih 
- Status pilihan terlihat jelas 
- Ringkasan pesanan menyesuaikan dengan pilihan terbaru 
- Tidak terjadi error saat perubahan pilihan",As Expected,DONE,100,
A-018,Kiosk,Item Customize,,14.29%,[Customize Interaction] Verifikasi interaksi pemilihan opsi customizing,,"Prerequisite: Buka layar Item Customize

Steps:
- Pilih kombinasi ingredient 1 bun arang dan chicken fillet 
- Tambahkan beberapa toppings 
- Ubah beberapa pilihan topping 
- Hapus salah satu topping 
- Periksa perubahan pada ringkasan pesanan","- Detail pesanan berubah sesuai pilihan yang dipilih 
- Opsi dapat diganti atau dibatalkan dengan normal 
- Ringkasan pesanan diperbarui secara real-time 
- Harga menyesuaikan dengan pilihan yang dipilih 
- Tidak terjadi error pada perubahan konfigurasi item",As Expected,DONE,100,
A-019,Kiosk,Item Customize,,14.29%,[Toppings Quantity Control] Verifikasi fungsi tombol tambah dan kurang pada extra toppings,,"Prerequisite: Buka layar Item Customize dan fokus pada bagian toppings

Steps:
- Tekan tombol + pada salah satu topping beberapa kali 
- Periksa perubahan jumlah topping 
- Tekan tombol - pada topping tersebut 
- Periksa perubahan jumlah topping 
- Periksa perubahan subtotal setelah jumlah berubah","- Jumlah topping bertambah sesuai interaksi tombol + 
- Jumlah topping berkurang ketika tombol - ditekan 
- Jumlah topping tidak dapat menjadi nilai negatif 
- Nilai jumlah topping diperbarui secara real-time 
- Harga subtotal menyesuaikan dengan jumlah topping",As Expected,DONE,100,"[Actual Result: - pada saat kita memilih upsell/recommend, Jumlah topping pada kartu produk (kiri) tetap 0 saat ditambah, padahal di panel ringkasan pesanan (kanan) topping bertambah]"
A-020,Kiosk,Item Customize,,14.29%,[Order Summary & Subtotal Update] Verifikasi update ringkasan pesanan dan subtotal,,"Prerequisite: Buka layar Item Customize

Steps:
- Pilih bun dan chicken fillet 
- Tambahkan beberapa topping 
- Periksa panel ringkasan pesanan di sisi kanan layar 
- Periksa perubahan subtotal setelah pilihan dibuat 
- Ubah salah satu pilihan topping","- Ringkasan pesanan menampilkan komponen yang dipilih 
- Jumlah item dan harga sesuai konfigurasi pesanan 
- Subtotal berubah otomatis mengikuti pilihan item 
- Informasi pesanan tampil jelas dan konsisten 
- Perubahan konfigurasi langsung memperbarui subtotal",As Expected,DONE,100,
A-021,Kiosk,Item Customize,,14.29%,[Add to Order Button] Verifikasi fungsi tombol Add to order,,"Prerequisite: Buka layar Item Customize dan lakukan konfigurasi item

Steps:
- Pilih beberapa opsi pada menu customize 
- Tekan tombol Add to order 
- Periksa perubahan pada cart atau bottom bar 
- Periksa halaman yang ditampilkan setelah aksi","- Item berhasil ditambahkan ke cart 
- Jumlah item pada cart diperbarui 
- Subtotal atau total pesanan diperbarui 
- Sistem berpindah ke layar berikutnya sesuai flow 
- Proses berjalan tanpa error atau delay",As Expected,DONE,100,
A-022,Kiosk,Item Customize,,14.29%,[Back Button Navigation] Verifikasi fungsi tombol Back pada halaman customize,,"Prerequisite: Buka layar Item Customize dari salah satu menu

Steps:
- Periksa tampilan halaman customize 
- Tekan tombol Back pada layar 
- Periksa halaman yang muncul setelah tombol ditekan","- Sistem kembali ke halaman Meal Options atau halaman menu sebelumnya 
- Navigasi berjalan lancar 
- Tidak terjadi error, freeze, atau tampilan rusak",As Expected,DONE,100,
A-023,Kiosk,Upsell Meal Combo,,16.67%,[Upsell UI Layout] Verifikasi tampilan elemen UI pada layar Upsell Meal Combo,,"Prerequisite: Buka layar Upsell setelah menambahkan item meal combo

Steps:
- Periksa tampilan halaman upsell 
- Periksa judul halaman 
- Periksa daftar item upsell yang ditampilkan 
- Periksa layout keseluruhan halaman","- Judul tampil jelas 
- Daftar item upsell ditampilkan dengan rapi  
- Semua elemen UI tersusun rapi 
- Tidak terdapat elemen UI yang terpotong atau overlap",As Expected,DONE,100,
A-024,Kiosk,Upsell Meal Combo,,16.67%,[Upsell Item Display] Verifikasi tampilan informasi item upsell,,"Prerequisite: Buka layar Upsell Meal Combo

Steps:
- Periksa setiap item pada daftar upsell 
- Periksa gambar produk 
- Periksa nama menu dan harga 
- Periksa tata letak kartu item","- Setiap item menampilkan gambar produk, nama menu dan harga
- Informasi tampil jelas dan mudah dibaca 
- Tata letak kartu item konsisten 
- Tidak ada layout yang rusak atau terpotong",As Expected,DONE,100,"[Actual Result: - kalori tidak ada
- tata letak kartu menyesuaikan dengan nama atau ukuran gambar]"
A-025,Kiosk,Upsell Meal Combo,,16.67%,[Upsell Item Selection] Verifikasi interaksi saat memilih item upsell,,"Prerequisite: Buka layar Upsell Meal Combo

Steps:
- Tekan salah satu item upsell 
- Periksa respons sistem setelah item dipilih 
- Periksa perubahan pada subtotal atau total pesanan 
- Periksa halaman selanjutnya","- Item upsell berhasil ditambahkan ke cart 
- Subtotal atau total pesanan diperbarui 
- Sistem melanjutkan ke langkah berikutnya sesuai flow 
- Proses berjalan normal tanpa error",As Expected,DONE,100,
A-026,Kiosk,Upsell Meal Combo,,16.67%,[Maybe Later Button] Verifikasi fungsi tombol Maybe later,,"Prerequisite: Buka layar Upsell Meal Combo

Steps:
- Periksa tampilan halaman upsell 
- Tekan tombol Maybe later 
- Periksa respons sistem setelah tombol ditekan 
- Periksa halaman selanjutnya","- Sistem melewati penawaran upsell 
- Tidak ada item upsell yang ditambahkan ke pesanan 
- Pengguna diarahkan ke halaman berikutnya sesuai flow 
- Navigasi berjalan normal tanpa error",As Expected,DONE,100,
A-026,Kiosk,Home,,100.00%,[Tampilan Home Screen] Verifikasi seluruh tampilan visual pada halaman home,,"Prerequisite: Buka aplikasi kiosk hingga masuk ke layar home

- Jalankan aplikasi kiosk
- Tunggu hingga layar home muncul
- Periksa banner atau hero section yang ditampilkan
- Periksa menu utama yang tersedia
- Periksa elemen navigasi seperti tombol atau menu ikon
- Periksa informasi promosi atau special offers","- Banner/promosi tampil lengkap dan jelas
- Menu utama tersusun rapi dan mudah diakses
- Elemen navigasi berfungsi dengan baik
- Tidak terdapat layout yang broken atau elemen terpotong
- Tampilan responsif dan stabil
- Halaman dapat diakses tanpa delay atau error",As Expected,DONE,100,
A-027,Kiosk,Upsell Meal Combo,,16.67%,[Back Button Navigation] Verifikasi fungsi tombol Back pada layar,,"Prerequisite: Buka layar Upsell Meal Combo

Steps:
- Periksa tampilan halaman upsell 
- Tekan tombol Back pada layar 
- Periksa halaman yang muncul setelah tombol ditekan","- Sistem kembali ke halaman sebelumnya 
- Navigasi berjalan lancar 
- Tidak terjadi error, freeze, atau tampilan rusak",As Expected,DONE,100,
A-028,Kiosk,Item Added,,25.00%,[Item Added to Bag Screen] Verifikasi tampilan layar item berhasil ditambahkan,,"Prerequisite: Selesaikan proses penambahan item hingga masuk ke layar Item Added

Steps:
- Periksa ikon jumlah item pada layar 
- Periksa teks konfirmasi penambahan item 
- Periksa tombol Continue Ordering dan Make Payments 
- Periksa tata letak seluruh elemen UI","- Ikon jumlah item tampil sesuai jumlah terbaru 
- Teks konfirmasi muncul dengan jelas 
- Tombol Continue Ordering dan Make Payments tampil aktif 
- Semua elemen UI stabil dan tidak ada error tampilan",As Expected,DONE,100,
A-029,Kiosk,Item Added,,25.00%,[Item Added Buttons Function] Verifikasi fungsi tombol Continue Ordering pada layar Item Added,,"Prerequisite: Buka layar Item Added setelah menambahkan item

Steps:
- Periksa tombol Continue Ordering 
- Tekan tombol Continue Ordering 
- Periksa respons sistem setelah tombol ditekan 
- Periksa halaman yang ditampilkan","- Tombol Continue Ordering membawa pengguna kembali ke menu item 
- Pengguna dapat melanjutkan proses pemesanan 
- Navigasi berjalan tanpa delay, freeze, atau error",As Expected,DONE,100,
A-030,Kiosk,Item Added,,25.00%,[Item Added Buttons Function] Verifikasi fungsi tombol Make Payments pada layar Item Added,,"Prerequisite: Buka layar Item Added setelah menambahkan item

Steps:
- Periksa tombol Make Payments 
- Tekan tombol Make Payments 
- Periksa respons sistem setelah tombol ditekan 
- Periksa halaman pembayaran yang ditampilkan","- Tombol Make Payments membawa pengguna ke langkah pembayaran 
- Halaman pembayaran terbuka dengan normal 
- Navigasi berjalan tanpa delay, freeze, atau error",As Expected,DONE,100,
A-031,Kiosk,Item Added,,25.00%,[Back Button Navigation] Verifikasi fungsi tombol Back pada layar Item Added,,"Prerequisite: Buka layar Item Added setelah menambahkan item

Steps:
- Periksa tampilan halaman Item Added 
- Tekan tombol Back pada layar 
- Periksa halaman yang muncul setelah tombol ditekan","- Sistem kembali ke halaman sebelumnya 
- Navigasi berjalan normal 
- Tidak terjadi error, freeze, atau tampilan rusak",As Expected,DONE,100,
A-032,Kiosk,Order Management,,16.67%,[Start Over Confirmation] Verifikasi tampilan dan fungsi konfirmasi Start Over,,"Prerequisite: Pastikan terdapat item pada cart di halaman Menu Items

Steps:
- Tekan tombol Start Over pada halaman Menu Items 
- Periksa pop-up konfirmasi yang muncul 
- Periksa pesan konfirmasi yang ditampilkan 
- Pilih opsi Cancel pada pop-up 
- Periksa kondisi cart setelah pop-up ditutup","- Pop-up konfirmasi tampil dengan pesan yang jelas 
- Terdapat dua tombol yaitu Cancel dan Start Over 
- Jika Cancel dipilih maka pop-up tertutup 
- Item pada cart tetap tersimpan 
- Subtotal tidak berubah 
- Tampilan halaman tetap stabil tanpa error",As Expected,DONE,100,
A-033,Kiosk,Order Management,,16.67%,[Start Over Confirmation Action] Verifikasi fungsi Start Over setelah konfirmasi,,"Prerequisite: Pastikan terdapat item pada cart di halaman Menu Items

Steps:
- Tekan tombol Start Over pada halaman Menu Items 
- Periksa pop-up konfirmasi yang muncul 
- Pilih opsi Start Over pada pop-up 
- Periksa respons sistem setelah konfirmasi","- Pop-up konfirmasi tampil dengan pesan yang jelas 
- Jika Start Over dipilih maka seluruh item pada cart dihapus 
- Subtotal kembali menjadi Rp0 
- Sistem kembali ke halaman Start Order atau Idle flow awal 
- Transisi halaman berjalan lancar tanpa freeze atau error",As Expected,DONE,100,
A-034,Kiosk,Order Management,,16.67%,[Remove Item Confirmation Cancel] Verifikasi fungsi Cancel pada pop-up remove item,,"Prerequisite: Pastikan terdapat item pada cart di halaman Menu Items

Steps:
- Tekan ikon remove pada salah satu item di cart 
- Periksa pop-up Remove item yang muncul 
- Periksa pesan konfirmasi pada pop-up 
- Pilih opsi Cancel pada pop-up 
- Periksa kondisi item pada cart setelah pop-up ditutup","- Pop-up konfirmasi Remove item tampil jelas 
- Terdapat tombol Cancel dan Yes, Remove 
- Jika Cancel dipilih maka pop-up tertutup 
- Item tetap berada pada cart 
- Subtotal tidak berubah 
- Tampilan halaman tetap stabil tanpa error",As Expected,DONE,100,
A-035,Kiosk,Order Management,,16.67%,[Remove Item Confirmation Action] Verifikasi fungsi Yes Remove pada pop-up remove item,,"Prerequisite: Pastikan terdapat item pada cart di halaman Menu Items

Steps:
- Tekan ikon remove pada salah satu item di cart 
- Periksa pop-up Remove item yang muncul 
- Pilih opsi Yes, Remove 
- Periksa perubahan pada daftar cart 
- Periksa perubahan subtotal","- Pop-up konfirmasi tampil dengan pesan jelas 
- Item yang dipilih berhasil dihapus dari cart 
- Daftar item pada cart diperbarui secara real-time 
- Subtotal berubah sesuai item yang tersisa 
- Tidak terjadi error atau delay saat update cart",As Expected,DONE,100,
A-036,Kiosk,Order Management,,16.67%,[Item Removed Notification] Verifikasi tampilan notifikasi setelah item dihapus,,"Prerequisite: Setelah memilih Yes Remove pada pop-up hapus item

Steps:
- Periksa tampilan halaman Menu Items 
- Periksa notifikasi yang muncul pada layar 
- Periksa daftar item pada cart 
- Periksa nilai subtotal setelah item dihapus","- Notifikasi ""Item removed"" tampil jelas di bagian bawah layar 
- Item yang dihapus tidak lagi muncul di cart 
- Subtotal menyesuaikan dengan benar 
- UI tetap stabil tanpa layout rusak 
- Tombol Continue tetap berfungsi sesuai kondisi cart",As Expected,DONE,100,[Actual Result: - tidak ada notifikasi atau toast]
A-037,Kiosk,Order Type,,33.33%,[Order Type Selection Dine In] Verifikasi tampilan dan fungsi pilihan order type Dine in,,"Prerequisite: Selesaikan pemilihan menu lalu tekan tombol Continue

Steps:
- Periksa tampilan layar Order Type 
- Periksa opsi Dine in yang ditampilkan 
- Periksa ikon dan label pada opsi tersebut 
- Pilih opsi Dine in 
- Periksa respons sistem setelah opsi dipilih","- Opsi Dine in tampil jelas dengan ikon dan label 
- Opsi dapat ditekan tanpa delay 
- Status pilihan terlihat aktif setelah dipilih 
- Sistem berpindah ke layar Food Method 
- Perpindahan layar berjalan stabil tanpa error",As Expected,DONE,100,
A-038,Kiosk,Order Type,,33.33%,[Order Type Selection Take Away] Verifikasi tampilan dan fungsi pilihan order type Take away,,"Prerequisite: Selesaikan pemilihan menu lalu tekan tombol Continue

Steps:
- Periksa tampilan layar Order Type 
- Periksa opsi Take away yang ditampilkan 
- Periksa ikon dan label pada opsi tersebut 
- Pilih opsi Take away 
- Periksa respons sistem setelah opsi dipilih","- Opsi Take away tampil jelas dengan ikon dan label 
- Opsi dapat dipilih tanpa kendala - Status pilihan berubah setelah dipilih 
- Sistem berpindah ke langkah berikutnya yaitu Cart Review atau Payment flow 
- Navigasi berjalan lancar tanpa delay atau error",As Expected,DONE,100,
A-039,Kiosk,Order Type,,33.33%,[Back Button Navigation] Verifikasi fungsi tombol Back pada layar Order Type,,"Prerequisite: Buka layar Order Type

Steps:
- Periksa tampilan halaman Order Type 
- Tekan tombol Back pada layar 
- Periksa halaman yang ditampilkan setelah tombol ditekan","- Sistem kembali ke halaman Menu Items sebelumnya 
- Navigasi berjalan lancar 
- Tidak terjadi error atau freeze 
- Tampilan halaman sebelumnya muncul dengan layout normal",As Expected,DONE,100,
A-040,Kiosk,Food Method,,33.33%,[Food Delivery Method Table Delivery] Verifikasi tampilan dan fungsi metode Table delivery,,"Prerequisite: Pilih Order Type Dine in hingga masuk ke layar Food Method

Steps:
- Periksa tampilan layar Food Method 
- Periksa opsi Table delivery pada layar 
- Periksa ikon dan label pada opsi tersebut 
- Pilih opsi Table delivery 
- Periksa respons sistem setelah opsi dipilih","- Opsi Table delivery tampil lengkap dengan ilustrasi 
- Opsi dapat dipilih dengan normal 
- Status pilihan berubah setelah dipilih 
- Sistem berpindah ke langkah Table Number 
- Transisi halaman berjalan lancar tanpa error",As Expected,DONE,100,
A-041,Kiosk,Food Method,,33.33%,[Food Delivery Method Pickup Counter] Verifikasi tampilan dan fungsi metode Pickup at counter,,"Prerequisite: Pilih Order Type Dine in hingga masuk ke layar Food Method

Steps:
- Periksa tampilan layar Food Method 
- Periksa opsi Pickup at counter 
- Periksa ikon dan label pada opsi tersebut 
- Pilih opsi Pickup at counter 
- Periksa respons sistem setelah opsi dipilih","- Opsi Pickup at counter tampil lengkap dengan ilustrasi 
- Opsi dapat dipilih dengan normal 
- Status pilihan terlihat aktif setelah dipilih 
- Sistem berpindah ke langkah Cart Review atau Payment flow 
- Transisi berjalan normal tanpa delay atau error",As Expected,DONE,100,
